b=-4.0, d=0.2, result is 0.00014491866837491532 and CN=5.428217993943693e+17
b=-3.9285714285714284, d=0.2, result is 0.00014980427129324494 and CN=2.769014190304943e+17
b=-3.857142857142857, d=0.2, result is 0.0001742314142152071 and CN=2.3685667522870288e+17
b=-3.7857142857142856, d=0.2, result is 0.00018250032818862308 and CN=8.942490160584859e+16
b=-3.7142857142857144, d=0.2, result is 9.427169777390587e-05 and CN=1.0565933086387777e+18
b=-3.642857142857143, d=0.2, result is 3.2286329405410605e-05 and CN=2.6161191524186307e+17
b=-3.5714285714285716, d=0.2, result is 5.4182554086761245e-05 and CN=9.806373220197829e+18
b=-3.5, d=0.2, result is 4.126661090254013e-05 and CN=4.7561234640440877e+17
b=-3.428571428571429, d=0.2, result is 2.6719056503605932e-05 and CN=2.5025893156519466e+17
b=-3.357142857142857, d=0.2, result is 2.0028421898551104e-05 and CN=2.21601411600825e+17
b=-3.2857142857142856, d=0.2, result is 1.737182798613047e-05 and CN=2.7173089472360374e+17
b=-3.2142857142857144, d=0.2, result is 1.9703151820147312e-05 and CN=3.7291489392999046e+17
b=-3.142857142857143, d=0.2, result is 2.1853586885696222e-05 and CN=2.1983113499127053e+17
b=-3.0714285714285716, d=0.2, result is 7.835354514664937e-06 and CN=4.112130310318203e+17
b=-3.0, d=0.2, result is 5.772644407639941e-06 and CN=6.87430096848453e+17
b=-2.928571428571429, d=0.2, result is 9.317723447516288e-06 and CN=1.2454858869349696e+18
b=-2.857142857142857, d=0.2, result is 8.906145658280922e-06 and CN=8.251063217741587e+17
b=-2.7857142857142856, d=0.2, result is 3.4265998559889126e-06 and CN=3.112528232519432e+17
b=-2.7142857142857144, d=0.2, result is 8.50844129012912e-06 and CN=1.1853711519769613e+17
b=-2.6428571428571432, d=0.2, result is 2.1599382336398524e-06 and CN=2.1993666713329133e+17
b=-2.5714285714285716, d=0.2, result is 2.675919828703934e-06 and CN=4.5721022978237184e+18
b=-2.5, d=0.2, result is 9.16453498099445e-06 and CN=8.741653093875845e+17
b=-2.428571428571429, d=0.2, result is 4.7407376943389757e-07 and CN=8.453171483713853e+17
b=-2.357142857142857, d=0.2, result is 3.999962754296498e-07 and CN=6.04431368693473e+17
b=-2.2857142857142856, d=0.2, result is 2.689875251392092e-07 and CN=2.8141117380521507e+17
b=-2.2142857142857144, d=0.2, result is 1.6911599601176013e-07 and CN=2.523501453234483e+17
b=-2.1428571428571432, d=0.2, result is 1.0687797859821654e-07 and CN=5.804158523841871e+17
b=-2.0714285714285716, d=0.2, result is 1.4386478152049447e-06 and CN=5.806622140394479e+17
b=-2.0, d=0.2, result is 7.646666673204977e-08 and CN=2.750756488114967e+17
b=-1.9285714285714288, d=0.2, result is 2.7328370587215024e-08 and CN=2.140607544841024e+17
b=-1.8571428571428572, d=0.2, result is 1.1803428497636746e-08 and CN=1.5588421098203254e+17
b=-1.785714285714286, d=0.2, result is 3.2609002810071564e-08 and CN=4.030295886076243e+17
b=-1.7142857142857144, d=0.2, result is 4.330132739239532e-09 and CN=3.560379964041549e+17
b=-1.6428571428571428, d=0.2, result is 9.190454410074619e-10 and CN=2.7014201887080154e+17
b=-1.5714285714285716, d=0.2, result is 7.806028412297157e-10 and CN=6.140177002808275e+16
b=-1.5, d=0.2, result is 9.760975248738105e-10 and CN=7.63526734027445e+16
b=-1.4285714285714288, d=0.2, result is 1.2073579151040667e-09 and CN=9.401846197313289e+17
b=-1.3571428571428572, d=0.2, result is 1.0544366718662049e-09 and CN=1.4544642718948957e+17
b=-1.285714285714286, d=0.2, result is 1.7415376818790867e-09 and CN=4.959036944754417e+17
b=-1.2142857142857144, d=0.2, result is 1.6091539625970043e-09 and CN=3.306952117003846e+16
b=-1.1428571428571432, d=0.2, result is 2.024191677302337e-09 and CN=3.053995962969126e+16
b=-1.0714285714285716, d=0.2, result is 1.9465759807646735e-09 and CN=5447213091422551.0
b=-1.0, d=0.2, result is 1.2374162516265654e-14 and CN=569029260845301.4
b=-0.9285714285714288, d=0.2, result is 8.048744345901443e-09 and CN=63710746559046.27
b=-0.8571428571428572, d=0.2, result is 3.311321546468676e-08 and CN=6957579188521.359
b=-0.785714285714286, d=0.2, result is 1.0290761661481252e-07 and CN=761943221821.2396
b=-0.7142857142857144, d=0.2, result is 2.8624608189521746e-07 and CN=83381760712.91826
b=-0.6428571428571432, d=0.2, result is 7.524320796594962e-07 and CN=9122120119.217094
b=-0.5714285714285716, d=0.2, result is 1.9165506199244277e-06 and CN=997736198.0223936
b=-0.5, d=0.2, result is 4.7989509927677475e-06 and CN=109113629.00014642
