b=-4.0, d=0.3, result is 0.00015622572124921323 and CN=3.538761678005434e+17
b=-3.9285714285714284, d=0.3, result is 0.0001680962684674993 and CN=6.818574986408954e+17
b=-3.857142857142857, d=0.3, result is 0.0005852767788842973 and CN=1.0511880499692384e+17
b=-3.7857142857142856, d=0.3, result is 7.08740126559609e-05 and CN=1.184268349112518e+17
b=-3.7142857142857144, d=0.3, result is 0.00013582706246204103 and CN=1.3329560646294133e+17
b=-3.642857142857143, d=0.3, result is 0.0001950074851858431 and CN=1.5556390247972496e+17
b=-3.5714285714285716, d=0.3, result is 7.489969010481024e-05 and CN=3.215575895356769e+17
b=-3.5, d=0.3, result is 3.761102850399351e-05 and CN=5.085463192673341e+17
b=-3.428571428571429, d=0.3, result is 0.00011576624983199415 and CN=5.2858023685392186e+17
b=-3.357142857142857, d=0.3, result is 6.797940732289391e-05 and CN=1.722087905053288e+17
b=-3.2857142857142856, d=0.3, result is 0.00011810895982412605 and CN=1.4391686934164245e+17
b=-3.2142857142857144, d=0.3, result is 3.8222326263448896e-05 and CN=1.1982794967341442e+17
b=-3.142857142857143, d=0.3, result is 2.910527308043319e-05 and CN=4.8614374383955885e+17
b=-3.0714285714285716, d=0.3, result is 2.4676196283453337e-05 and CN=9.531968254098334e+16
b=-3.0, d=0.3, result is 9.724334261915828e-05 and CN=2.8788064806386144e+17
b=-2.928571428571429, d=0.3, result is 9.547021761888009e-05 and CN=9.541574846125734e+16
b=-2.857142857142857, d=0.3, result is 6.0380068915677846e-05 and CN=1.1807400517036483e+17
b=-2.7857142857142856, d=0.3, result is 1.0536351288613093e-05 and CN=1.6098475525093046e+17
b=-2.7142857142857144, d=0.3, result is 5.085680357517636e-06 and CN=6.046489881456531e+17
b=-2.6428571428571432, d=0.3, result is 4.578546913395788e-06 and CN=2.0905075697321526e+17
b=-2.5714285714285716, d=0.3, result is 8.352828084226744e-06 and CN=8.946466091854154e+16
b=-2.5, d=0.3, result is 3.892934683937587e-06 and CN=2.36126791722283e+17
b=-2.428571428571429, d=0.3, result is 6.00142834293008e-06 and CN=3.025295690165292e+17
b=-2.357142857142857, d=0.3, result is 7.976042839134769e-07 and CN=6.918248348306686e+16
b=-2.2857142857142856, d=0.3, result is 1.0023035866478297e-06 and CN=1.4717845972764787e+17
b=-2.2142857142857144, d=0.3, result is 4.239119421038606e-07 and CN=3.4288150692694156e+16
b=-2.1428571428571432, d=0.3, result is 6.459577435475163e-07 and CN=8.889146389663109e+16
b=-2.0714285714285716, d=0.3, result is 4.7377776121084183e-07 and CN=6.572335694640083e+16
b=-2.0, d=0.3, result is 6.682536661827049e-08 and CN=5.047194800652055e+16
b=-1.9285714285714288, d=0.3, result is 1.8856445553545612e-07 and CN=5.653188149964612e+16
b=-1.8571428571428572, d=0.3, result is 1.5679719416328541e-07 and CN=8.901030381151424e+16
b=-1.785714285714286, d=0.3, result is 1.028439226450542e-07 and CN=1.2671422367664736e+17
b=-1.7142857142857144, d=0.3, result is 2.61812529745731e-08 and CN=3.3562370326196828e+16
b=-1.6428571428571428, d=0.3, result is 9.533470448546708e-09 and CN=7538158430949541.0
b=-1.5714285714285716, d=0.3, result is 1.0136511597591462e-08 and CN=1833171186175315.8
b=-1.5, d=0.3, result is 1.2955690942759548e-08 and CN=398699687458543.4
b=-1.4285714285714288, d=0.3, result is 1.8217543176645695e-08 and CN=93816334942753.0
b=-1.3571428571428572, d=0.3, result is 2.488775290920137e-08 and CN=21555478018029.88
b=-1.285714285714286, d=0.3, result is 3.275160102196281e-08 and CN=4972527977035.363
b=-1.2142857142857144, d=0.3, result is 4.055578352401841e-08 and CN=1145080373016.1677
b=-1.1428571428571432, d=0.3, result is 4.477493242139712e-08 and CN=263568949561.89734
b=-1.0714285714285716, d=0.3, result is 3.719781910769251e-08 and CN=60664306359.69576
b=-1.0, d=0.3, result is 2.5861758868846346e-15 and CN=13962382585.646547
b=-0.9285714285714288, d=0.3, result is 1.0386009981225612e-07 and CN=3213495723.92064
b=-0.8571428571428572, d=0.3, result is 3.4935504429972655e-07 and CN=739614694.0334373
b=-0.785714285714286, d=0.3, result is 8.85791374921125e-07 and CN=170239617.1594763
b=-0.7142857142857144, d=0.3, result is 2.0077485867091594e-06 and CN=39188919.423947
b=-0.6428571428571432, d=0.3, result is 4.2939583303283745e-06 and CN=9022701.907802746
b=-0.5714285714285716, d=0.3, result is 8.887333369011639e-06 and CN=2077814.6902804729
b=-0.5, d=0.3, result is 1.8083662399045103e-05 and CN=478634.1007217624
